sku	product-id	product-id-type	price	minimum-seller-allowed-price	maximum-seller-allowed-price	item-condition	quantity	add-delete	will-ship-internationally	expedited-shipping	item-note	fulfillment-center-id	merchant-shipping-group-name	product_tax_code
a	b	c	d	e	f	g	h	I	j	k	l	m	n	o
										3				
										3				
										3				
										3				
										3				
										3				
										3				
										3				
										3				
										3				
										3				
										3				
										3				
										3				
										3				
										3				
										3				
										3				
										3				
										3				
										3				
